symbol,time,open,high,low,close,volume,ROC,Histogram,MACD,Signal,ADX,C-O,EMA_50,ATR_14
PRSO,2026-03-03 21:10:00,0.9499,0.95,0.93,0.95,23032.0,3.587395049612896,0.0005027467058742168,0.010185573751521515,0.009682827045647298,14.013395792829531,9.999999999998899e-05,0.9106902615141,0.021008147637313786
PRSO,2026-03-03 21:15:00,0.9499,0.95,0.915,0.915,50824.0,-1.3796076740676733,-0.0014235585303862715,0.007903378882664458,0.00932693741305073,13.59413306179086,-0.03489999999999993,0.9108592708664883,0.022007565663219937
PRSO,2026-03-03 21:20:00,0.92,0.95,0.915,0.92,27048.0,-3.188466799957912,-0.002322247632209465,0.006424127872788898,0.008746375504998363,13.204817668683521,0.0,0.9112177308325083,0.022935596687275652
PRSO,2026-03-03 21:25:00,0.92,0.9201,0.92,0.92,3264.0,-3.6951742907986973,-0.0028435315284614515,0.005191961094421549,0.008035492622883,12.843310517940994,0.0,0.911562133544959,0.021304482638184536
PRSO,2026-03-03 21:30:00,0.93,0.93,0.9201,0.9201,779.0,-3.137172333929883,-0.003088075840270532,0.004175397822544835,0.007263473662815367,11.97793144709763,-0.00990000000000002,0.9118969518373136,0.020497019592599926
PRSO,2026-03-03 21:35:00,0.93,0.95,0.9299,0.9499,4313.0,-0.40889075277835696,-0.0012439227600939875,0.005708570212697883,0.006952492972791871,12.248263334985054,0.019899999999999918,0.9133872674515365,0.021168661050271355
PRSO,2026-03-03 21:40:00,0.94,0.95,0.92,0.92,2541.0,0.0,-0.001994367549519531,0.004459533535892457,0.006453901085411988,11.881588410907934,-0.019999999999999907,0.9136465902965744,0.021799470975251967
PRSO,2026-03-03 21:45:00,0.95,0.95,0.9353,0.94,1937.0,2.7322404371584508,-0.0011426694704191167,0.005025564247388092,0.006168233717807209,11.541104552836321,-0.010000000000000009,0.9146800573437676,0.02238522304844825
PRSO,2026-03-03 21:50:00,0.95,0.95,0.95,0.95,200.0,0.0,3.300103602198699e-05,0.006209485012834692,0.006176483976812705,11.224940970341253,0.0,0.916065153134208,0.021500564259273377
PRSO,2026-03-03 21:55:00,0.95,0.95,0.94,0.94,1107.0,1.0752688172043001,7.367210049044441e-05,0.006268574102425761,0.006194902001935317,10.573922511615901,-0.010000000000000009,0.9170037745799253,0.02067909538361099
PRSO,2026-03-03 22:05:00,0.94,0.94,0.94,0.94,629.0,-1.0526315789473717,3.882418347573701e-05,0.006243432231279988,0.006204608047804251,9.96940537137093,0.0,0.9179055873414969,0.01920201714192449
PRSO,2026-03-03 22:20:00,0.9499,0.9537,0.9349,0.9411,16100.0,2.8524590163934382,2.8580159338494927e-05,0.00624033324697737,0.006211753087638875,9.98449623423133,-0.008799999999999919,0.9188151721516342,0.019173301631787033
PRSO,2026-03-03 22:25:00,0.93,0.93,0.915,0.915,2301.0,-0.5434782608695676,-0.0017016112085317774,0.004084739076974153,0.0057863502855059305,9.791217124976926,-0.015000000000000013,0.9186655575574525,0.0196680658009451
PRSO,2026-03-03 22:35:00,0.9401,0.9401,0.92,0.92,19015.0,0.0,-0.0024305250991531,0.002748193911564556,0.005178719010717656,9.182724719135903,-0.020100000000000007,0.9187178886336308,0.020056061100877594
PRSO,2026-03-03 22:40:00,0.9311,0.9311,0.9101,0.9132,3014.0,-0.7499184871209708,-0.0032411555690863804,0.0011272745493596803,0.004368430118446061,8.997339722736356,-0.017900000000000027,0.9185015008440767,0.020123485307957767
PRSO,2026-03-03 22:45:00,0.914,0.9156,0.8901,0.9,36562.0,-5.253184545741652,-0.004461555618354615,-0.0012085144044972074,0.003253041213857407,9.789053440429,-0.014000000000000012,0.9177759517913677,0.020507522071675065
PRSO,2026-03-03 22:55:00,0.9,0.9,0.9,0.9,800.0,-2.1739130434782594,-0.005022253964068671,-0.003024776241228433,0.0019974777228402387,10.524216178286455,0.0,0.9170788556426867,0.019042699066555417
PRSO,2026-03-03 23:00:00,0.8999,0.9,0.8999,0.8999,830.0,-4.2659574468085,-0.005135006362448487,-0.00442128023022037,0.0007137261322281169,11.211645122914742,0.0,0.916405175029248,0.01768964913323003
PRSO,2026-03-03 23:15:00,0.897,0.897,0.897,0.897,1759.0,-5.5789473684210495,-0.0051280699926411506,-0.005696361358573321,-0.0005682913659321707,11.995264604622616,0.0,0.9156441877731991,0.0166332456237136
